word,score
기뻐하고 즐거워하다,2
기뻐하고 즐거워한다는,2
기뻐하고 즐거워함,2
기뻐하는,2
기뻐하다,2
기뻐함과,2
기뻐함과 즐거워함,2
기쁘거나,2
기쁘거나 만족스럽거나,2
기쁘거나 즐거운,2
기쁘거나 흥분하여,2
기쁘게,2
기쁘게 여기다,2
기쁘고,2
기쁘고 만족스럽다,2
기쁘다,2
기쁜,2
기쁜 마음,2
기쁜 마음으로,2
기쁜 마음을,2
기쁜 빛,2
기쁜 빛을,2
기쁜 일이,2
기쁨,2
기쁨과,2
기쁨과 즐거움,2
기쁨을,2
기쁨을 느끼는,2
기쁨을 느끼다,2
기쁨을 느끼어,2
기쁨을 담은,2
기쁨을 아는,2
기쁨을 즐기다,2
기쁨이나,2
기쁨이나 감격이,2
기상이 뛰어난,2
기세 좋게,2
기세가 좋은,2
기운차게,2
기운차게 솟구쳐,2
기운차고,2
기운차고 활기,2
기운차다,2
기특하고,2
기특하고 장하다,2
기품이 있다,2
길고 아름다워서,2
깊은 맛이,2
깊은 맛이 있게,2
깊은 은혜,2
깊은 은혜와,2
깊이 감복하여,2
깊이 기억하다,2
깊이 따르다,2
깊이 따름,2
깊이 사귐,2
깊이 사모함,2
깔끔하게,2
깔끔하다,2
깔끔한,2
깔끔한 데가,2
깔끔해지다,2
깨끗하고,2
깨끗하고 깔끔하게,2
깨끗하고 말끔하게,2
깨끗하고 매끈한,2
깨끗하고 시원스럽다,2
깨끗하고 시원하다,2
깨끗하고 시원한,2
깨끗하고 온전하다,2
깨끗하고 진실한,2
깨끗하고 칠칠한,2
깨끗하다,2
깨끗하다는,2
깨끗하며,2
깨끗하며 단아하게,2
깨끗하여,2
깨끗하여 조금도,2
깨끗한,2
깨끗한 마음,2
깨끗한 모양,2
깨끗한 사랑을,2
깨끗한 상태로,2
깨끗한 생혈,2
꼭 어울리고,2
꼼꼼하고 자상하게,2
꼼꼼한,2
꼿꼿하며 건장하다,2
꼿꼿하며 건장한,2
꽃이 보드랍고,2
꽤 귀여운,2
꽤 따뜻하고,2
꽤 따뜻하다,2
꽤 뜨뜻하고,2
꽤 흥분되고,2
꾸준하게 열심히,2
꾸준한,2
꾸준한 데가,2
꾸준함,2
꾸준히,2
끈기 있는,2
끈기가 있는,2
나라가 태평한,2
나아지게 발전하다,2
나아지다,2
날씨가 맑거나,2
날씨가 화창하여,2
날이 좋아지다,2
남달리 뛰어난,2
남달리 좋아하고,2
남보다 뛰어난,2
남보다 월등히,2
남에게 베풀어서,2
남에게 칭찬을,2
남을 사랑하는,2
내구성이 좋아,2
너그러운,2
너그러운 마음으로,2
너그러운 모양,2
너그러워,2
너그러워 보이는,2
너그러이,2
너그럽게,2
너그럽게 듣다,2
너그럽게 보다,2
너그럽게 용서하다,2
너그럽게 이해하다,2
너그럽고,2
너그럽고 부드러운,2
너그럽고 상냥하면서,2
너그럽다,2
너무 기쁘거나,2
넉넉하거나,2
넉넉하여 만족하다,2
넉넉하여 만족함,2
넓고 시원스럽다,2
넓은 마음으로,2
넘치는 기쁨,2
논리적인,2
높고 뛰어나다,2
높고 맑다,2
높고 빼어나게,2
높은 성적,2
높은 수준에,2
높은 작위,2
높이 평가하거나,2
높이 평가하다,2
눈을 즐겁게,2
느끼는 감동이나,2
늘 소중하게,2
능란하게,2
능력이 뛰어나,2
능력이 뛰어나다,2
능력이 뛰어나다고,2
능력이 있다,2
능률이 나다,2
능수능간,2
능수능란,2
능숙하게,2
능숙하게 다루다,2
능숙하게 처리하다,2
능통한,2
능통한 재주,2
능하고,2
능하다,2
능히,2
능히 처리하다,2
능히 해내거나,2
다 좋도록,2
다 탐스럽게,2
다정하고,2
다정하고 친절하게,2
다정하고 친절하다,2
다정하다,2
단아하게,2
단아하게 건정히,2
단정하게,2
단정하게 차린,2
단정하게 포개다,2
단정하다,2
단출하게,2
대단하거나,2
대단하거나 강하다,2
대단하고,2
대단하고 극진하게,2
대단하고 극진하다,2
대단하고 극진한,2
대단하다,2
대단한,2
대단한 상태에,2
대단히 괜찮음,2
더 강하게,2
더 강하고,2
더 좋게,2
더없이 뛰어난,2
더할 나위 없이 맑고,2
더할 나위 없이 좋음,2
덕,2
덕망이 높고,2
덕망이 높은,2
덕망이 뛰어난,2
덕을,2
덕을 보다,2
덕을 봄,2
덕을 찬미한,2
덕이 넓어,2
덕이 높고,2
덕이 있는,2
덕이 훌륭하고,2
덕이라는,2
덕행을,2
덕행을 닦는,2
덕행이,2
덕행이 높고,2
덕행이 뛰어나,2
데 적합하다,2
도덕적,2
도움을 주는,2
도움이 되는,2
도움이 될 만한,2
독창적,2
독창적인,2
돕는 마음,2
돕다,2
동경하고,2
됨됨이가 뛰어나고,2
됨됨이가 원숙하여,2
두드러지게 뛰어나다,2
두터운 덕이라는,2
두터운 혜택이나,2
드러나는 멋,2
드러내어 뽐낼,2
득템,2
든든하고,2
든든하고 굳세다,2
든든하고 튼튼하다,2
든든하다,2
든든히,2
든든히 의지할,2
듣기 좋게,2
듣기 좋은,2
듣기 좋을,2
듣기에 상쾌하다,2
들기 좋을,2
들떠서 두근거리다,2
들어맞다,2
따뜻이,2
따뜻이 어루만져,2
따뜻하게,2
따뜻하고,2
따뜻하고 포근한,2
따뜻하다,2
따뜻하며,2
따뜻하여,2
따뜻하여 편안하다,2
따뜻하여 편안한,2
따뜻한,2
따뜻한 느낌,2
따뜻한 보호,2
따스함이 있게,2
따스함이 있다,2
따위가 기쁘고,2
따위가 상서롭다,2
따위가 흐뭇하고,2
딱 알맞다,2
떳떳하고,2
떳떳하고 올바르게,2
떳떳하고 올바르다,2
떳떳하다,2
떳떳한,2
떳떳한 도리를,2
떳떳한 모습이나,2
또는 즐겁고,2
또랑또랑하여,2
똑똑하고,2
똑똑하고 뚜렷하게,2
똑똑하고 뚜렷하다,2
똑똑하고 영리하게,2
똑똑하다,2
똑똑한,2
똑똑한 모양,2
똑바르다,2
똘똘히,2
뛰어나,2
뛰어나 유명한,2
뛰어나 존경받는,2
뛰어나거나,2
뛰어나게,2
뛰어나게 세다,2
뛰어나게 훌륭한,2
뛰어나고,2
뛰어나고 특이하다,2
뛰어나고 훌륭하게,2
뛰어나고 훌륭하다,2
뛰어나고 훌륭한,2
뛰어나다,2
뛰어나다는,2
뛰어나다는 뜻에서,2
뛰어난,2
뛰어난 것,2
뛰어난 견해,2
뛰어난 경지에,2
뛰어난 대가,2
뛰어난 덕,2
뛰어난 명장,2
뛰어난 모양,2
뛰어난 문채로,2
뛰어난 미인,2
뛰어난 사람,2
뛰어난 사람으로,2
뛰어난 성질,2
뛰어난 슬기나,2
뛰어난 역량을,2
뛰어난 영웅,2
뛰어난 예능을,2
뛰어난 자연의,2
뛰어난 재능,2
뛰어난 재능과,2
뛰어난 재주,2
뛰어난 재주나,2
뛰어난 지혜,2
뛰어난 진리,2
뛰어난 풍채와,2
뛰어남,2
뜻깊은,2
뜻깊은 일이나,2
뜻을 이루거나,2
마땅하고,2
마땅하고 떳떳한,2
마스터피스,2
마음에 들,2
마음에 들다,2
마음에 들어,2
마음에 여유가 있다,2
마음에 흐뭇하거나,2
마음에 흐뭇하고,2
마음에 흐뭇하여,2
마음에 흡족하여,2
마음을 편안하고,2
마음을 편히,2
마음이 가볍고,2
마음이 들뜬,2
마음이 맑게,2
마음이 맞고,2
마음이 설레다,2
마음이 즐겁고,2
마음이 참되고,2
마음이 크다,2
마음이 편안하게,2
마음이 편안하다,2
마음이 평온하다,2
마음이 평온히,2
마음이 한가하게,2
마음이 한가하다,2
